DeltaFuel,TimeStamp,valid_fuel,before_avg,after_avg
2206.08,2024-04-10T01:53:30.000000,3149.12,940.896,3176.928
1268.4799999999998,2024-04-11T01:36:00.000000,2975.68,1717.6640000000002,2983.136
1803.52,2024-04-11T21:03:30.000000,2808.64,1006.848,2798.208
2006.0800000000002,2024-04-12T20:24:30.000000,2916.8,904.7359999999999,2910.816
1804.7999999999997,2024-04-13T20:44:00.000000,2581.12,773.408,2581.28
2146.56,2024-04-14T13:57:30.000000,2970.88,825.856,2976.7360000000003
2154.5600000000004,2024-04-15T13:51:30.000000,2936.32,779.008,2919.616
1910.0800000000002,2024-04-16T08:39:30.000000,2936.32,1041.28,2942.304
1366.08,2024-04-17T00:56:00.000000,3011.52,1652.2240000000002,3013.2799999999997
1924.4799999999998,2024-04-17T20:54:00.000000,3036.16,1110.208,3057.504
1992.0,2024-04-18T21:50:00.000000,3061.12,1062.176,3079.424
2098.24,2024-04-22T01:47:00.000000,3124.48,1027.9360000000001,3147.0080000000003
2260.16,2024-04-23T02:42:00.000000,3008.0,751.2,3016.096
1831.6799999999998,2024-04-23T22:26:00.000000,3082.24,1238.4320000000002,3099.136
2171.5199999999995,2024-04-25T01:46:30.000000,3082.24,910.3999999999999,3129.0559999999996
2195.52,2024-04-26T00:57:00.000000,3138.56,939.0079999999998,3170.5919999999996
2209.28,2024-04-27T21:22:00.000000,3092.8,884.4480000000001,3087.168
1822.7200000000003,2024-04-28T23:06:00.000000,2635.84,825.76,2681.6319999999996
1935.68,2024-04-29T21:59:00.000000,2700.48,769.12,2720.5119999999997
2171.2,2024-04-30T16:20:00.000000,3011.52,858.816,3022.08
2077.76,2024-05-01T10:43:00.000000,3004.48,937.632,3030.5279999999993
2088.64,2024-05-02T03:28:59.000000,3050.56,961.8880000000001,3063.584
1899.2000000000003,2024-05-03T08:23:00.000000,2823.36,930.048,2841.0240000000003
2046.7199999999998,2024-05-04T05:15:00.000000,3022.08,975.936,3028.4480000000003
2038.08,2024-05-04T22:20:00.000000,2997.44,958.72,3014.3360000000002
1945.6,2024-05-05T15:31:30.000000,3078.72,1135.232,3128.352
1729.6,2024-05-06T10:08:00.000000,2921.6,1186.0799999999997,2935.872
1955.8400000000001,2024-05-07T16:03:30.000000,2960.96,1010.5920000000002,2962.432
2121.92,2024-05-08T17:10:30.000000,2778.88,661.3439999999999,2814.976
1062.72,2024-05-09T20:17:30.000000,2848.0,782.688,2997.8239999999996
984.6399999999999,2024-05-10T20:35:00.000000,3061.12,1120.3200000000002,3082.2400000000002
554.2400000000002,2024-05-11T20:32:30.000000,2896.96,1019.392,3059.7119999999995
1523.8400000000001,2024-05-14T01:53:00.000000,2896.96,1379.5839999999996,2895.1040000000003
2041.6,2024-05-14T20:45:30.000000,3078.72,1039.7759999999998,3130.112
2174.7200000000003,2024-05-15T17:18:30.000000,3004.48,836.96,3023.84
2102.7200000000003,2024-05-17T03:04:30.000000,2887.36,794.048,2906.4
1726.4,2024-05-17T20:22:30.000000,2656.0,934.624,2664.8
2431.36,2024-05-18T13:50:00.000000,3128.0,695.5840000000001,3143.136
2068.16,2024-05-19T05:39:30.000000,3032.64,963.5200000000001,3062.1440000000002
1945.6,2024-05-20T03:30:00.000000,3068.16,1136.4479999999999,3084.0
2211.84,2024-05-21T09:35:00.000000,2970.88,760.2239999999999,2995.264
1686.0800000000002,2024-05-22T03:59:00.000000,3096.32,1414.0480000000002,3114.6240000000003
1964.16,2024-05-23T20:58:30.000000,2823.36,866.3680000000002,2816.448
2088.64,2024-05-24T15:44:00.000000,3039.68,948.7040000000001,3069.536
1889.9199999999998,2024-05-25T12:54:00.000000,2921.6,1030.592,2916.2559999999994
